tags,elapsed_s,start_unix,end_unix
"['initialize-parser', '63fcfe05-41fe-4738-872f-bf3eeb150d24']",6.93,1713078457.04,1713078463.98
"['initialize-parser', '4b2620c3-1b30-47d5-b082-8e060c63b149']",6.93,1713078457.04,1713078463.97
"['initialize-parser', '9d781fa1-f427-4561-a5e4-8f482f1c2aea']",6.93,1713078457.04,1713078463.97
"['initialize-parser', '2a9d1c74-80f0-4c26-85e3-38fa434f0760']",7.03,1713078457.03,1713078464.05
"['initialize-parser', 'ae754266-9476-4a47-ae2c-52b823082ce4']",7.02,1713078457.04,1713078464.06
"['initialize-parser', '77e32c5f-1035-4d8d-8f81-1e405279a202']",7.01,1713078457.05,1713078464.06
"['initialize-parser', '60bd1b80-9bad-433e-b8fe-2512c946448e']",7.01,1713078457.05,1713078464.06
"['initialize-parser', 'c9925cce-00f0-4f32-b1df-aa989b6374c8']",7.04,1713078457.03,1713078464.06
"['initialize-parser', '102de3a5-0790-4b68-9d32-8e2c8269b424']",7.01,1713078457.07,1713078464.07
"['initialize-parser', '70c74afb-8b8e-4b08-ada0-3100632398f8']",7.06,1713078457.07,1713078464.12
"['initialize-parser', '0ddc83b8-f9a6-44fd-a7cd-701f032b86e9']",7.04,1713078457.08,1713078464.12
"['initialize-parser', '71af178a-114d-44a8-87a3-d1d217bfa81a']",7.07,1713078457.08,1713078464.15
"['initialize-parser', '614b6523-6b95-4475-890a-d9d57937abcd']",7.06,1713078457.18,1713078464.24
"['initialize-parser', '66b1c081-1ea6-4033-a7b7-605f63fa2158']",7.06,1713078457.18,1713078464.24
"['initialize-parser', '1491325f-808e-429f-bd2e-517b5e9ba877']",7.06,1713078457.19,1713078464.24
"['initialize-parser', 'b9a146b9-ac56-48c3-8b07-4cd0a367f63b']",7.09,1713078457.19,1713078464.28
"['initialize-parser', '56249139-67c0-4686-bf43-43e962ee5012']",7.22,1713078457.75,1713078464.96
"['initialize-parser', '8967b4dc-280b-413e-b411-8cba37f2c2bd']",7.21,1713078457.75,1713078464.96
"['initialize-parser', 'a61c84e1-798e-41f4-bb3d-98ca217c107b']",6.59,1713078458.38,1713078464.97
"['initialize-parser', 'cafa45ae-eb6f-49a0-8ba5-0d9e509cc8d4']",7.31,1713078457.67,1713078464.98
"['initialize-parser', '275bff85-4a37-41fa-9765-7d4388dcd138']",6.81,1713078458.19,1713078465.01
"['initialize-parser', 'e9147f5b-826a-4db0-a359-94dc677a1f87']",7.38,1713078457.69,1713078465.07
"['initialize-parser', '1f835bab-692b-4640-bd9d-226c30b33a16']",7.11,1713078457.98,1713078465.09
"['initialize-parser', 'f99d8ad5-e4d4-481a-90f6-b293e28bf1a4']",7.04,1713078458.13,1713078465.17
"['initialize-parser', '50b95360-7a02-484b-a76d-fa1b8604627f']",7.28,1713078458.05,1713078465.33
"['initialize-parser', '2942d702-72dd-4eac-b0d8-7a8a4d5af1ef']",7.53,1713078457.80,1713078465.33
"['initialize-parser', '46b6c33a-bf48-43f1-be61-fb97498bbce6']",7.11,1713078458.22,1713078465.33
"['initialize-parser', 'd1b364fe-0650-48ea-977c-8f34dc52c0ca']",7.62,1713078457.74,1713078465.37
"['initialize-parser', 'bbb14451-3e7d-4279-98c1-f41cd6d92ba5']",17.59,1713078469.50,1713078487.09
"['initialize-parser', 'ac27aa6d-8dd7-4012-9de4-f5c607feab21']",17.65,1713078469.43,1713078487.09
"['initialize-parser', '5fa1caed-b1db-4489-9855-a656babdbdd8']",17.39,1713078469.78,1713078487.18
"['initialize-parser', 'f3dd8e36-7294-48ab-9981-402aa3de74bb']",17.21,1713078469.98,1713078487.19
"['initialize-parser', 'cd6c1560-126b-4429-995f-03a4a98bb783']",112.05,1713078514.76,1713078626.81
"['initialize-parser', '98314368-da3c-4105-bf06-59d81b0d7483']",112.00,1713078514.81,1713078626.81
"['initialize-parser', '8ea6cd35-dd6a-400b-85bb-237c69944002']",111.74,1713078515.08,1713078626.81
"['initialize-parser', 'ec394675-b019-44bb-abd0-c8490f0f9d2a']",112.13,1713078514.68,1713078626.81
"['initialize-parser', 'd266012d-becc-4709-aeaa-b1695af21319']",111.89,1713078515.07,1713078626.96
"['initialize-parser', 'cfd588e9-be78-4512-b964-30da05d33f53']",112.42,1713078514.55,1713078626.97
"['initialize-parser', '898ae3ce-58c5-4453-9b35-352dec79f3e9']",112.14,1713078514.82,1713078626.96
"['initialize-parser', '430e30b2-5a24-4d67-ba05-f9ac22fe221c']",111.79,1713078515.17,1713078626.95
"['initialize-parser', '14c71f8a-0273-4875-9498-f4d181e2bfd7']",112.05,1713078514.92,1713078626.97
"['initialize-parser', 'a3b1a98b-d85f-4c12-b117-775f9c9db62d']",112.17,1713078514.80,1713078626.97
"['initialize-parser', '1c77fb32-c7d4-4de5-b1c3-a1ead69cd6f2']",111.91,1713078515.05,1713078626.96
"['initialize-parser', 'a9346c22-b5a3-451d-8d1b-e81d9fb6a013']",112.28,1713078514.68,1713078626.96
"['initialize-parser', '375ffe6a-c47a-49af-b794-772585ca150c']",112.05,1713078514.95,1713078627.00
"['initialize-parser', '2f1c0774-5695-4a62-bc2d-e096327942e4']",112.26,1713078514.75,1713078627.00
"['initialize-parser', 'afaa11e1-02b0-4f14-8a5f-4f3d09ff1031']",112.14,1713078514.85,1713078626.99
"['initialize-parser', '49220ff9-5ae1-41dc-bf83-85eec0763c91']",111.84,1713078515.17,1713078627.01
"['initialize-parser', '00a9549a-3985-4852-a618-5a2859a3b3da']",112.26,1713078514.74,1713078626.99
"['initialize-parser', '3af68193-ed2e-478c-ba19-11186b47d68a']",112.19,1713078514.85,1713078627.04
"['initialize-parser', '2814c4de-232e-4301-9c27-545ae3bba9f9']",112.18,1713078514.86,1713078627.04
"['initialize-parser', 'd310d4a8-94d5-4aaa-942d-b7d54b98d2bd']",112.22,1713078514.83,1713078627.04
"['initialize-parser', 'cfe2f788-dd73-4936-8583-bc4a667bef7d']",112.35,1713078514.69,1713078627.03
"['initialize-parser', 'b5e113a1-796c-4c15-bf3a-7e56c9011ff0']",112.34,1713078514.70,1713078627.04
"['initialize-parser', '16da2b82-db55-4eaf-8c96-d194c685b99a']",112.40,1713078514.65,1713078627.05
"['initialize-parser', '0c28abc9-7ca6-4a3c-aa72-5cf85fe2cf5c']",112.43,1713078514.65,1713078627.08
"['initialize-parser', 'f273caf4-2bc1-4a67-a312-171e2082facb']",112.13,1713078514.95,1713078627.08
"['initialize-parser', '18bb098e-2e01-4da5-bae6-d96e1e5ace09']",112.10,1713078514.99,1713078627.08
"['initialize-parser', '4e9cf3b3-2f5a-42d3-a8b7-6caf02832832']",112.21,1713078514.89,1713078627.10
"['initialize-parser', '036e0915-31a8-441d-9fed-84769f808c39']",112.07,1713078515.03,1713078627.10
"['initialize-parser', '80010c5f-d583-4b11-a8b5-de49cdbf3ccc']",112.37,1713078514.73,1713078627.10
"['initialize-parser', '8bd82007-d12e-467f-a0f2-4867c4253022']",112.28,1713078514.84,1713078627.12
"['initialize-parser', '8de8c2c0-58ac-43a8-bb03-6a9958119306']",112.01,1713078515.12,1713078627.14
"['initialize-parser', '6425522f-5dd8-4123-9112-08903e3b1df5']",112.07,1713078515.07,1713078627.14
"['initialize-parser', '3b90fea8-1484-4740-8560-06ae9893829b']",112.20,1713078514.96,1713078627.16
"['initialize-parser', '07191e45-bee2-42bd-8568-c6a0972e7f79']",112.27,1713078514.89,1713078627.16
"['initialize-parser', 'd649afd3-3366-4861-b9d1-9a09711488f9']",112.28,1713078514.88,1713078627.16
"['initialize-parser', 'b220730f-c856-433a-8c42-a89735ef8384']",112.13,1713078515.05,1713078627.18
"['initialize-parser', '220e963b-eb6c-4612-b9ed-a549978cae30']",112.47,1713078514.71,1713078627.18
"['initialize-parser', '410146e0-89c1-42ea-bf70-79fa25931919']",112.04,1713078515.15,1713078627.19
"['initialize-parser', 'ec4cd982-da11-46fa-ac25-15b38f022d52']",112.04,1713078515.15,1713078627.19
"['initialize-parser', '549c4542-2512-4b36-8a75-96e80805688e']",112.21,1713078515.02,1713078627.23
"['initialize-parser', 'd817ccac-b765-41e2-84e5-6ac54137b833']",112.09,1713078515.14,1713078627.23
"['initialize-parser', '4b69f1f9-9a68-4b9a-a038-d87f6efc66f4']",112.17,1713078515.07,1713078627.24
