tags,elapsed_s,start_unix,end_unix
"['initialize-parser', 'cb16f9c5-1c00-483d-ac40-c27bb38cdba8']",31.02,1713122654.71,1713122685.73
"['initialize-parser', 'fe946e4a-0494-465c-80f5-bd59a284b7c3']",31.07,1713122654.70,1713122685.77
"['initialize-parser', 'a1e72ad6-a7e8-4c70-a0a9-9659f5fc5b22']",31.60,1713122654.71,1713122686.31
"['initialize-parser', 'e6c8b6b9-4856-4385-a4d7-d7b3a851d8c7']",31.62,1713122654.71,1713122686.33
"['initialize-parser', '10b97a87-b67e-467c-9513-df2ed26b78e1']",30.28,1713122656.05,1713122686.33
"['initialize-parser', '0be1f5f3-eaaf-4a27-88bc-87286500b234']",30.36,1713122655.99,1713122686.34
"['initialize-parser', 'cedf2ed7-2b7d-435e-86c8-9b735080103f']",31.69,1713122654.75,1713122686.44
"['initialize-parser', '88138345-194c-4dcb-8d1f-d71f5f7a14bd']",31.69,1713122654.75,1713122686.44
"['initialize-parser', '29e48bf8-2500-4b95-9928-bac86ad9744e']",31.83,1713122654.71,1713122686.53
"['initialize-parser', 'e9f470df-554c-4236-b275-448e003ab1b9']",31.86,1713122654.71,1713122686.57
"['initialize-parser', '6bb17459-44a8-497b-bc13-122291ac9f2b']",31.86,1713122654.72,1713122686.58
"['initialize-parser', '2a110a9d-c71b-4b55-85b5-8a5fd2dd66d2']",31.89,1713122654.71,1713122686.61
"['initialize-parser', 'ca5a1ecd-4a62-4089-a057-4827c70b11ff']",31.89,1713122654.71,1713122686.61
"['initialize-parser', '90f4278f-933d-4717-aca0-5f46d32762f0']",30.64,1713122656.11,1713122686.74
"['initialize-parser', 'ca482bc8-44aa-45b3-b906-3d81cac52cfb']",32.03,1713122654.72,1713122686.75
"['initialize-parser', '965c6213-4981-408b-bac4-c485cc3e2a2e']",31.33,1713122656.11,1713122687.44
"['parser-parse', 'fe946e4a-0494-465c-80f5-bd59a284b7c3']",57.19,1713122685.77,1713122742.96
"['write-jsonl', 'fe946e4a-0494-465c-80f5-bd59a284b7c3']",0.01,1713122742.96,1713122742.96
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-10391.zip']",88.26,1713122654.70,1713122742.96
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-10391.zip']",88.39,1713122654.58,1713122742.97
"['initialize-parser', 'e1490a0a-6bff-49f8-a859-1cf55b3f1814']",0.00,1713122744.61,1713122744.61
"['parser-parse', 'a1e72ad6-a7e8-4c70-a0a9-9659f5fc5b22']",57.72,1713122686.31,1713122744.03
"['write-jsonl', 'a1e72ad6-a7e8-4c70-a0a9-9659f5fc5b22']",0.00,1713122744.03,1713122744.03
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-34619.zip']",89.33,1713122654.71,1713122744.03
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-34619.zip']",89.47,1713122654.57,1713122744.04
"['initialize-parser', 'fc26b11c-b398-42a1-a01d-80a88e8c4d97']",0.00,1713122745.68,1713122745.68
"['parser-parse', 'cb16f9c5-1c00-483d-ac40-c27bb38cdba8']",58.44,1713122685.73,1713122744.17
"['write-jsonl', 'cb16f9c5-1c00-483d-ac40-c27bb38cdba8']",0.00,1713122744.17,1713122744.18
