tags,elapsed_s,start_unix,end_unix
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/89800e98-d130-4b7f-a9f0-dffe994f029c.jsonl']",15.77,1713087134.13,1713087149.90
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/89800e98-d130-4b7f-a9f0-dffe994f029c.jsonl']",0.19,1713087150.19,1713087150.38
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/158b311f-88f4-43b0-9cc3-66b490ed545b.jsonl']",15.80,1713087134.13,1713087149.93
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/158b311f-88f4-43b0-9cc3-66b490ed545b.jsonl']",0.19,1713087150.19,1713087150.38
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/c2a33075-b4d7-4dbe-8598-1d845a58f527.jsonl']",16.03,1713087134.15,1713087150.18
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/c2a33075-b4d7-4dbe-8598-1d845a58f527.jsonl']",0.15,1713087150.38,1713087150.53
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/325287f6-2abb-45d3-ae91-5de988365c3f.jsonl']",16.14,1713087134.14,1713087150.27
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/325287f6-2abb-45d3-ae91-5de988365c3f.jsonl']",0.21,1713087150.47,1713087150.68
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/70c5be30-3bb9-44d5-bf0f-12fe9ec71865.jsonl']",38.38,1713087134.11,1713087172.50
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/70c5be30-3bb9-44d5-bf0f-12fe9ec71865.jsonl']",0.18,1713087172.77,1713087172.95
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/99ea0667-c6f4-43c1-84d7-dfeb717c75bc.jsonl']",38.38,1713087134.11,1713087172.50
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/99ea0667-c6f4-43c1-84d7-dfeb717c75bc.jsonl']",0.20,1713087172.77,1713087172.97
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/10d7ec1d-770d-42a2-b9c1-78c69332315d.jsonl']",38.43,1713087134.12,1713087172.55
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/10d7ec1d-770d-42a2-b9c1-78c69332315d.jsonl']",0.21,1713087172.77,1713087172.97
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/cd5bce10-3f43-41e9-ad89-cd8a76697c91.jsonl']",38.43,1713087134.12,1713087172.55
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/cd5bce10-3f43-41e9-ad89-cd8a76697c91.jsonl']",0.20,1713087172.78,1713087172.98
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/3be707ef-ea65-4370-9c82-a5824ccdd852.jsonl']",56.39,1713087135.92,1713087192.31
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/3be707ef-ea65-4370-9c82-a5824ccdd852.jsonl']",0.20,1713087192.80,1713087193.00
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/9cbe359c-3ef4-4145-bcff-36837e34ab3f.jsonl']",56.53,1713087135.92,1713087192.45
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/9cbe359c-3ef4-4145-bcff-36837e34ab3f.jsonl']",0.14,1713087192.91,1713087193.06
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/aa834cfc-8f08-4d9c-ac57-86d634ceb17a.jsonl']",56.62,1713087135.92,1713087192.54
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/aa834cfc-8f08-4d9c-ac57-86d634ceb17a.jsonl']",0.19,1713087192.91,1713087193.10
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/71fbfa1b-86b8-4fe5-bb79-815ada5891dd.jsonl']",56.65,1713087135.92,1713087192.57
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/71fbfa1b-86b8-4fe5-bb79-815ada5891dd.jsonl']",0.21,1713087192.91,1713087193.12
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/d11d6a16-3e1a-452b-bdb6-b72f4d74a017.jsonl']",86.92,1713087233.93,1713087320.84
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/d11d6a16-3e1a-452b-bdb6-b72f4d74a017.jsonl']",0.14,1713087326.64,1713087326.78
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/d21b4654-3d56-485e-b83c-64ed15e80492.jsonl']",86.80,1713087233.93,1713087320.73
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/d21b4654-3d56-485e-b83c-64ed15e80492.jsonl']",0.18,1713087326.64,1713087326.82
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/0d2e07f5-8b0c-41ff-a397-a3b700409ce1.jsonl']",86.65,1713087233.93,1713087320.57
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/0d2e07f5-8b0c-41ff-a397-a3b700409ce1.jsonl']",0.18,1713087326.64,1713087326.82
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/33f8337b-e34f-421f-ac0f-19855d8f5eb3.jsonl']",86.81,1713087233.93,1713087320.73
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/33f8337b-e34f-421f-ac0f-19855d8f5eb3.jsonl']",0.18,1713087326.64,1713087326.83
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/ade76245-02b6-4e3d-854a-3851b44010d6.jsonl']",86.85,1713087233.93,1713087320.78
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/ade76245-02b6-4e3d-854a-3851b44010d6.jsonl']",0.18,1713087326.64,1713087326.83
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/9c3eae39-28da-4bfb-ac93-af8ef56f69fa.jsonl']",86.74,1713087233.93,1713087320.66
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/9c3eae39-28da-4bfb-ac93-af8ef56f69fa.jsonl']",0.18,1713087326.64,1713087326.83
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/2a8daa45-b88b-45f1-8b88-e1eb1d33c05d.jsonl']",86.66,1713087233.93,1713087320.59
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/2a8daa45-b88b-45f1-8b88-e1eb1d33c05d.jsonl']",0.18,1713087326.64,1713087326.83
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/28a1b261-3b89-4945-ad79-b366dc76e2ef.jsonl']",86.79,1713087233.93,1713087320.71
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/28a1b261-3b89-4945-ad79-b366dc76e2ef.jsonl']",0.18,1713087326.64,1713087326.83
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/916ccfb8-5048-4694-8299-89a3a0e4e433.jsonl']",86.67,1713087233.93,1713087320.59
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/916ccfb8-5048-4694-8299-89a3a0e4e433.jsonl']",0.18,1713087326.64,1713087326.83
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/1cf4e284-0128-48b0-99a1-3ec3c6b5200f.jsonl']",86.84,1713087233.92,1713087320.76
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/1cf4e284-0128-48b0-99a1-3ec3c6b5200f.jsonl']",0.18,1713087326.64,1713087326.83
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/f83e56e9-dc26-43cb-adae-532ca468a3c2.jsonl']",86.83,1713087233.93,1713087320.76
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/f83e56e9-dc26-43cb-adae-532ca468a3c2.jsonl']",0.19,1713087326.64,1713087326.83
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/f669dbc3-c732-4d39-9906-476ce55ff52e.jsonl']",86.66,1713087233.92,1713087320.59
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/f669dbc3-c732-4d39-9906-476ce55ff52e.jsonl']",0.19,1713087326.64,1713087326.83
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/686b610f-9e6d-4124-8ada-a3797d357c78.jsonl']",86.75,1713087233.93,1713087320.67
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/686b610f-9e6d-4124-8ada-a3797d357c78.jsonl']",0.19,1713087326.64,1713087326.83
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/2fae8621-015d-49a1-bae6-dc13249641d5.jsonl']",86.67,1713087233.93,1713087320.59
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/2fae8621-015d-49a1-bae6-dc13249641d5.jsonl']",0.19,1713087326.64,1713087326.83
"['loaded-encoder', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/5a68513c-1992-48ea-9f7a-39907e11f30a.jsonl']",86.78,1713087233.92,1713087320.70
"['loaded-dataset', '/lus/eagle/projects/tpc/braceal/metric-rag/data/parsed_pdfs/scaling/scaling-data/nougat.scaling.data/5a68513c-1992-48ea-9f7a-39907e11f30a.jsonl']",0.19,1713087326.64,1713087326.83
