tags,elapsed_s,start_unix,end_unix
"['loaded-encoder', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/d53b839c-bfe3-40ff-807a-e92c60837456.jsonl']",25.30,1713150531.18,1713150556.48
"['loaded-dataset', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/d53b839c-bfe3-40ff-807a-e92c60837456.jsonl']",0.15,1713150557.09,1713150557.24
"['loaded-encoder', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/58f2f498-ba08-4542-842a-187b80cd9584.jsonl']",36.48,1713150531.18,1713150567.66
"['loaded-dataset', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/58f2f498-ba08-4542-842a-187b80cd9584.jsonl']",0.15,1713150568.20,1713150568.35
"['loaded-encoder', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/0bccb401-3875-4636-b2c6-95d99b86a02b.jsonl']",37.60,1713150531.26,1713150568.85
"['loaded-dataset', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/0bccb401-3875-4636-b2c6-95d99b86a02b.jsonl']",0.15,1713150569.47,1713150569.62
"['loaded-encoder', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/d3abbc36-cce1-4527-a468-16a74bcc6d2a.jsonl']",50.01,1713150531.57,1713150581.58
"['loaded-dataset', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/d3abbc36-cce1-4527-a468-16a74bcc6d2a.jsonl']",0.09,1713150582.07,1713150582.16
"['loaded-encoder', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/b026b939-7c3f-4b54-9b5a-3918458f7225.jsonl']",50.40,1713150531.60,1713150582.00
"['loaded-dataset', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/b026b939-7c3f-4b54-9b5a-3918458f7225.jsonl']",0.08,1713150582.54,1713150582.62
"['loaded-encoder', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/176122dd-a0ac-4921-9e86-d99b73d2ec1e.jsonl']",50.76,1713150531.55,1713150582.31
"['loaded-dataset', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/176122dd-a0ac-4921-9e86-d99b73d2ec1e.jsonl']",0.08,1713150582.73,1713150582.82
"['loaded-encoder', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/scaling/distllm-scaling/nougat.scaling.data/a1fc1809-9877-4bed-8801-d2b6a4ff9233.jsonl']",50.70,1713150531.71,1713150582.40
